name,full_name,symbol
Yee Lee Corp,Yee Lee Corporation Bhd,YLEE
YNH Property,YNH Property Bhd,YNHB
YSP Southeast Asia,YSP Southeast Asia Holding Bhd,YSPS
YTL Land Develop,YTL Land Develop Bhd,YTLL
ZECON,ZECON Bhd,ZCON
Zelan,Zelan Bhd,ZLAN
Amtel Holdings Bhd,Amtel Holdings Bhd,AMTH
CCK Consolidated Holdings,CCK Consolidated Holdings Bhd,CCKH
Cymao Holdings Bhd,Cymao Holdings Bhd,CYMA
Edaran Bhd,Edaran Bhd,EDSB
Kumpulan H L High Tech,Kumpulan H & L High-Tech Bhd,KHLH
Kia Lim Bhd,Kia Lim Bhd,KIAL
Kim Hin Industry Bhd,Kim Hin Industry Bhd,KIMH
KKB Engineering Berhad,KKB Engineering Berhad,KKBE
KNM Group Bhd,KNM Group Bhd,KNMP
Komarkcorp Bhd,Komarkcorp Bhd,KOMK
Kumpulan Powernet Bhd,Kumpulan Powernet Bhd,KPOW
Keck Seng Malaysia,Keck Seng Malaysia Bhd,KSMS
Kinsteel Bhd,Kinsteel Bhd,KSTE
LB Aluminium Bhd,LB Aluminium Bhd,LBAL
Leweko Resources Bhd,Leweko Resources Bhd,LEWE
Lion Industries Corp,Lion Industries Corporation Bhd,LLBM
Luster Industries Bhd,Luster Industries Bhd,LTER
Lysaght Galvanized Steel,Lysaght Galvanized Steel Bhd,LYSA
MCE Holdings,MCE Holdings Bhd,MCEI
Mercury Industries Bhd,Mercury Industries Bhd,MEIS
Mentiga Corporation Bhd,Mentiga Corporation Bhd,MENT
Mieco Chipboard Bhd,Mieco Chipboard Bhd,MIEC
MGB,MGB Bhd,MGBB
Minho M Bhd,Minho M Bhd,MNHO
Minetech Resources Bhd,Minetech Resources Bhd,MNTH
Malaysia Smelting,Malaysia Smelting Corporation Bhd,MSCB
Melewar Industrial Group,Melewar Industrial Group Bhd,MSTM
Muar Ban Lee Group Bhd,Muar Ban Lee Group Bhd,MUBL
Muda Holdings Bhd,Muda Holdings Bhd,MUDA
Multi Usage Holdings Bhd,Multi-Usage Holdings Bhd,MUHB
Mycron Steel Bhd,Mycron Steel Bhd,MYCS
Nylex Malaysia Bhd,Nylex (Malaysia) Bhd,NMBS
Oka Corporation Bhd,Oka Corporation Bhd,OKAC
Ornapaper Bhd,Ornapaper Bhd,ORPA
P.A. Resources Bhd,P.A. Resources Bhd,PARB
Pensonic Holdings Bhd,Pensonic Holdings Bhd,PENS
Pesona Metro Holdings Bhd,Pesona Metro Holdings Bhd,PESO
Poly Glass Fibre M Bhd,Poly Glass Fibre (M) Bhd,PGFM
PIE Industrial Bhd,PIE Industrial Bhd,PIEN
PMB Technology Bhd,PMB Technology Bhd,PMBT
Press Metal Bhd,Press Metal Bhd,PMET
Permaju Industries Bhd,Permaju Industries Bhd,PMJU
PNE PCB Bhd,PNE PCB Bhd,PNEB
Pelangi Publishing Group,Pelangi Publishing Group Bhd,PPGB
Public Packages Holdings,Public Packages Holdings Bhd,PPHB
Perusahaan Sadur Timah,Perusahaan Sadur Timah Malaysia Perstima Bhd,PSTM
Prestar Resources Bhd,Prestar Resources Bhd,PTAR
Priceworth International,Priceworth International Bhd,PWPB
Rapid Synergy Bhd,Rapid Synergy Bhd,RAPD
Resintech Bhd,Resintech Bhd,RESN
Rubberex Corporation M,Rubberex Corporation M Bhd,RUMM
Sarawak Cable Bhd,Sarawak Cable Bhd,SACB
Sanbumi Holdings Bhd,Sanbumi Holdings Bhd,ICOI
Sapura Industrial Bhd,Sapura Industrial Bhd,SAPU
Success Transformer Corp,Success Transformer Corporation Bhd,SCCE
Seacera Group Bhd,Seacera Group Bhd,SCER
SCGM Bhd,SCGM Bhd,SCGB
Sarawak Consolidated Industries,Sarawak Consolidated Industries Bhd,SCIB
Scomi Group Bhd,Scomi Group Bhd,SCOI
Scope Industries Bhd,Scope Industries Bhd,SCPE
Scanwolf Corporation Bhd,Scanwolf Corporation Bhd,SCWF
SEAL Incorporated Bhd,SEAL Incorporated Bhd,SEAL
SIG Gases Bhd,SIG Gases Bhd,SIGS
SKP Resources Bhd,SKP Resources Bhd,SKPR
Sealink International Bhd,Sealink International Bhd,SLKI
SLP Resources Bhd,SLP Resources Bhd,SLPB
Hengyuan Refining,Hengyuan Refining Company Bhd,HENY
Atta Global Group,Atta Global Group Bhd,ATTA
Sino Hua An International,Sino Hua An International Bhd,SNHN
Southern Acids M Bhd,Southern Acids (M) Bhd,SOUS
Superlon Holdings Bhd,Superlon Holdings Bhd,SPLH
Southern Steel Bhd,Southern Steel Bhd,STEE
Scientex Bhd,Scientex Bhd,STIK
Subur Tiasa Holdings Bhd,Subur Tiasa Holdings Bhd,SUBU
Sunsuria Bhd,Sunsuria Bhd,SUNS
Sunway Real Estate Invest Trust,Sunway Real Estate Investment Trust,SUNW
Tadmax Resources Bhd,Tadmax Resources Bhd,TADM
Dynaciate,Dynaciate Group Bhd,DYNA
Rohas Tecnic,Rohas Tecnic Bhd,ROHA
Tekala,Tekala Corporation Bhd,WMGH
Thong Guan Industries Bhd,Thong Guan Industries Bhd,TGIB
Three A Resources Bhd,Three A Resources Bhd,THEA
Tong Herr Resources Bhd,Tong Herr Resources Bhd,THRB
Tiger Synergy Bhd,Tiger Synergy Bhd,TIGE
Tasek Corporation Bhd,Tasek Corporation Bhd,TKCS
Tomypak Holdings Bhd,Tomypak Holdings Bhd,TOMY
TAS Offshore Bhd,TAS Offshore Bhd,TSOF
Turiya Bhd,Turiya Bhd,TURY
Timberwell Bhd,Timberwell Bhd,TWEL
Tien Wah Press Holdings,Tien Wah Press Holdings Bhd,TWPH
Uchi Technologies Bhd,Uchi Technologies Bhd,UCHI
UMS Neiken,UMS-Neiken Group Bhd,UMSN
United U Li Corporation,United U Li Corporation Bhd,UULI
VS Industry Bhd,VS Industry Bhd,VSID
Versatile Creative Bhd,Versatile Creative Bhd,VSTL
Wah Seong Corporation Bhd,Wah Seong Corporation Bhd,WAHE
Watta Holding Bhd,Watta Holding Bhd,WATA
Wellcall Holdings Bhd,Wellcall Holdings Bhd,WCAL
Wong Engineering Corp,Wong Engineering Corporation Bhd,WENG
White Horse Bhd,White Horse Bhd,WHSE
WZ Satu Bhd,WZ Satu Bhd,WZRB
YKGI Holdings Bhd,YKGI Holdings Bhd,YKGI
Yi Lai,Yi-Lai Bhd,YLAI
YLI Holdings Bhd,YLI Holdings Bhd,YLIH
G3 Global,G3 Global Bhd,GLOA
Malakoff Corporation Bhd,Malakoff Corporation Bhd,MALA
Hibiscus Petroleum BHD,Hibiscus Petroleum BHD,HIBI
Sedania Innovator Bhd,Sedania Innovator Bhd,SEDA
Xin Hwa Holdings Bhd,Xin Hwa Holdings Bhd,XINW
ES Ceramics Technology Bhd,ES Ceramics Technology Bhd,ESCM
Ikhmas Jaya Group Bhd,Ikhmas Jaya Group Bhd,IKHM
JHM Consolidation Bhd,JHM Consolidation Bhd,JHMC
Privasia Technology Bhd,Privasia Technology Bhd,PRTB
Sunway Construction Group Bhd,Sunway Construction Group Bhd,SCOG
Sersol Bhd,Sersol Bhd,SSOL
Aemulus Holdings Bhd,Aemulus Holdings Bhd,AEML
Al-Salam Real Estate,Al-Salam Real Estate Investment Trust,ALSA
Sumatec Resources Bhd,Sumatec Resources Bhd,SUTR
Tune Protect Group Bhd,Tune Protect Group Bhd,TUNE
Dolphin International Bhd,Dolphin International Bhd,DOLP
Kein Hing International Bhd,Kein Hing International Bhd,KEHG
MESB Bhd,MESB Bhd,MESB
