Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-08-30,'2224,SDRED ,SELANGOR DREDGING BERHAD,,0.67,0.650,0.645,0.645,"5,000",5,-0.025 ,-3.73%,decreasing,"28,600",0.600 - 0.780,2.00,3.10%,5.99,274.9M,11,1,0.32,0.645 / 0.670,2.98,59.84,,0.2,,"7,500 / 28,400",https://www.klsescreener.com/v2/stocks/view/2224/selangor-dredging-berhad
2019-08-30,'2305,AYER ,AYER HOLDINGS BERHAD,,4.23,4.230,4.230,4.230,-,0,0.000 ,0.00%,,500,4.020 - 5.400,5.00,1.18%,20.47,316.6M,21,5,0.62,4.220 / 4.700,2.98,93.96,,0.0,,"2,000 / 900",https://www.klsescreener.com/v2/stocks/view/2305/ayer-holdings-berhad
2019-08-30,'7223,JADI ,JADI IMAGING HOLDINGS BERHAD,,0.055,0.055,0.055,0.055,-,0,0.000 ,0.00%,,"2,404,400",0.030 - 0.070,0.00,0.00%,0.38,57.0M,14,1,0.42,0.050 / 0.055,2.92,4.97,,0.0,,"8,875,900 / 961,900",https://www.klsescreener.com/v2/stocks/view/7223/jadi-imaging-holdings-berhad
2019-08-30,'8664,SPSETIA ,S P SETIA BERHAD,,1.47,1.560,1.470,1.560,"2,259,900",9,+0.090 ,+6.12%,increasing,"1,662,400",1.470 - 2.850,13.38,8.58%,8.86,"6,306.3M",18,1,0.27,1.550 / 1.560,1.56,104.21,,1.4,,"229,000 / 777,400",https://www.klsescreener.com/v2/stocks/view/8664/s-p-setia-berhad
2019-08-30,'7803,RUBEREX ,RUBBEREX CORPORATION (M) BERHAD,,0.49,0.480,0.470,0.480,"705,000",2,-0.010 ,-2.04%,decreasing,"50,800",0.420 - 0.625,2.00,4.17%,2.53,121.1M,19,0,0.56,0.475 / 0.485,2.94,97.98,,13.9,,"160,000 / 10,000",https://www.klsescreener.com/v2/stocks/view/7803/rubberex-corporation-m-berhad
2019-08-30,'4251,IBHD ,I-BERHAD,,0.325,0.330,0.325,0.330,"45,000",1,+0.005 ,+1.54%,increasing,"187,100",0.315 - 0.540,1.75,5.30%,2.88,334.8M,11,2,0.34,0.325 / 0.335,2.94,18.92,,0.2,,"50,000 / 20,000",https://www.klsescreener.com/v2/stocks/view/4251/i-berhad
2019-08-30,'6181,MALTON ,MALTON BERHAD,,0.495,0.495,0.490,0.490,"314,500",1,-0.005 ,-1.01%,decreasing,"2,116,900",0.390 - 0.695,0.00,0.00%,5.13,258.8M,10,0,0.28,0.485 / 0.490,2.93,188.90,,0.1,,"209,600 / 44,000",https://www.klsescreener.com/v2/stocks/view/6181/malton-berhad
2019-08-30,'3565,WCEHB ,WCE HOLDINGS BERHAD,,0.55,0.550,0.545,0.545,"38,900",1,-0.005 ,-0.91%,decreasing,"263,000",0.465 - 0.765,0.00,0.00%,2.06,546.5M,26,1,0.77,0.545 / 0.555,2.91,95.99,,0.1,,"900 / 8,000",https://www.klsescreener.com/v2/stocks/view/3565/wce-holdings-berhad
2019-08-30,'9121,KPSCB ,KPS CONSORTIUM BERHAD,,0.5,0.500,0.480,0.480,"11,400",4,-0.020 ,-4.00%,decreasing,"19,700",0.470 - 0.565,0.00,0.00%,5.25,71.0M,9,0,0.26,0.480 / 0.520,2.88,600.51,,0.6,,"18,600 / 15,300",https://www.klsescreener.com/v2/stocks/view/9121/kps-consortium-berhad
2019-08-30,'8117,POLY ,POLY GLASS FIBRE (M) BERHAD,,0.365,0.365,0.365,0.365,-,0,0.000 ,0.00%,,"3,000",0.260 - 0.505,0.00,0.00%,2.97,58.4M,12,1,0.35,0.370 / 0.440,2.87,43.37,,0.0,,"2,000 / 24,200",https://www.klsescreener.com/v2/stocks/view/8117/poly-glass-fibre-m-berhad
2019-08-30,'9679,WCT ,WCT HOLDINGS BERHAD,,1.0,0.995,0.980,0.980,"916,200",2,-0.020 ,-2.00%,decreasing,"3,991,300",0.660 - 1.220,0.00,0.00%,6.53,"1,389.7M",15,1,0.43,0.975 / 0.980,2.86,147.27,,0.2,,"42,000 / 1,500",https://www.klsescreener.com/v2/stocks/view/9679/wct-holdings-berhad
2019-08-30,'3662,MFLOUR ,MALAYAN FLOUR MILLS BERHAD,,0.58,0.590,0.580,0.590,"669,200",2,+0.010 ,+1.72%,increasing,"4,838,300",0.465 - 1.190,1.70,2.88%,3.06,592.0M,19,0,0.57,0.585 / 0.590,2.95,256.41,,0.1,,"127,400 / 34,400",https://www.klsescreener.com/v2/stocks/view/3662/malayan-flour-mills-berhad
