Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSTRUCTION,'5932,-,-,"10,853",127,0.125,0.130,"7,970",0.13,0.125,0.130,0.125,s,07 Nov 2019,05:00PM,0.130,BINA PURI HOLDINGS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5932
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'6998,0.005,+4.35,"2,883",100,0.120,0.125,"5,159",0.115,0.120,0.120,0.115,s,07 Nov 2019,05:00PM,0.120,BINTAI KINDEN CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6998
MAIN MARKET,TRANSPORTATION & LOGISTICS,'5032,-,-,-,20,4.010,4.260,25,4.25,-,-,-,s,07 Nov 2019,05:00PM,-,BINTULU PORT HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5032
MAIN MARKET,PLANTATION,'5069,-,-,-,10,5.430,5.750,29,5.75,-,-,-,s,07 Nov 2019,05:00PM,-,BLD PLANTATION BHD.,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5069
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'0168,-,-,"1,735",400,0.625,0.635,380,0.635,0.640,0.645,0.630,s,07 Nov 2019,05:00PM,0.635,BOILERMECH HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0168
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'9288,-0.005,-1.92,"26,848","2,500",0.255,0.260,"2,002",0.26,0.260,0.260,0.255,s,07 Nov 2019,05:00PM,0.255,BONIA CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9288
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7036,-,-,"14,121","1,168,632",0.040,0.045,"228,008",0.045,0.040,0.045,0.040,s,07 Nov 2019,05:00PM,0.045,BORNEO OIL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7036
MAIN MARKET,TRANSPORTATION & LOGISTICS,'8133,-,-,374,77,1.290,1.350,30,1.29,1.290,1.310,1.290,s,07 Nov 2019,05:00PM,1.290,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8133
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'2771,-,-,"1,879",20,0.970,0.975,205,0.975,0.975,0.975,0.965,s,07 Nov 2019,05:00PM,0.975,BOUSTEAD HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2771
MAIN MARKET,PLANTATION,'5254,-,-,"4,665",366,0.610,0.620,"2,461",0.62,0.620,0.625,0.610,s,07 Nov 2019,05:00PM,0.620,BOUSTEAD PLANTATIONS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5254
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'6297,-,-,-,50,1.130,1.200,100,1.2,-,-,-,s,07 Nov 2019,05:00PM,-,BOX-PAK (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6297
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5100,0.040,+3.92,"1,845",90,1.040,1.060,50,1.02,1.040,1.060,1.030,s,07 Nov 2019,05:00PM,1.060,BP PLASTICS HOLDING BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5100
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'9474,-,-,"5,684",716,0.165,0.170,"3,937",0.165,0.165,0.165,0.165,s,07 Nov 2019,05:00PM,0.165,BRAHIM'S HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9474
MAIN MARKET,CONSTRUCTION,'8761,-,-,-,"1,000",0.775,0.815,96,0.78,-,-,-,s,07 Nov 2019,05:00PM,-,BREM HOLDING BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8761
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9938,0.010,+4.26,"12,638",936,0.245,0.250,"1,686",0.235,0.225,0.250,0.225,s,07 Nov 2019,05:00PM,0.245,BRIGHT PACKAGING INDUSTRY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9938
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'4162,-0.040,-0.23,"6,950",622,17.600,17.640,9,17.64,17.700,17.840,17.500,s,07 Nov 2019,05:00PM,17.600,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4162
